datetime,symbol,open,high,low,close,volume,bullish_fvg,bearish_fvg,buy_side_sweep,sell_side_sweep,bullish_mss,bearish_mss
2026-05-15 21:30:00,OANDA:XAUUSD,4548.94,4551.44,4541.8,4542.805,9260.0,False,True,False,False,False,True
2026-05-15 21:35:00,OANDA:XAUUSD,4542.795,4542.905,4526.53,4528.8,9689.0,False,True,False,True,False,True
2026-05-15 21:40:00,OANDA:XAUUSD,4528.79,4531.37,4520.03,4520.115,9473.0,False,False,False,True,False,True
2026-05-15 21:45:00,OANDA:XAUUSD,4520.1,4529.57,4510.985,4529.07,9797.0,False,False,False,True,False,False
2026-05-15 21:50:00,OANDA:XAUUSD,4529.07,4537.16,4526.045,4534.77,9054.0,True,False,False,False,True,False
2026-05-15 21:55:00,OANDA:XAUUSD,4534.75,4542.09,4531.22,4533.685,6519.0,False,False,False,False,False,False
2026-05-15 22:00:00,OANDA:XAUUSD,4533.645,4535.35,4525.465,4533.715,7657.0,False,False,False,False,False,False
2026-05-15 22:05:00,OANDA:XAUUSD,4533.725,4540.655,4533.495,4534.44,7327.0,False,False,False,False,False,False
2026-05-15 22:10:00,OANDA:XAUUSD,4534.42,4550.6,4534.07,4543.43,7341.0,False,False,True,False,True,False
2026-05-15 22:15:00,OANDA:XAUUSD,4543.495,4558.95,4540.56,4558.95,7688.0,True,False,True,False,True,False
2026-05-15 22:20:00,OANDA:XAUUSD,4559.02,4562.955,4556.105,4558.545,8449.0,False,False,True,False,False,False
2026-05-15 22:25:00,OANDA:XAUUSD,4558.58,4559.265,4552.525,4555.705,7692.0,False,False,False,False,False,True
2026-05-15 22:30:00,OANDA:XAUUSD,4555.68,4559.82,4553.145,4557.635,7947.0,False,False,False,False,False,False
2026-05-15 22:35:00,OANDA:XAUUSD,4557.59,4560.6,4554.4,4556.115,6632.0,False,False,False,False,False,False
2026-05-15 22:40:00,OANDA:XAUUSD,4555.945,4557.655,4550.85,4556.86,6145.0,False,False,False,False,False,False
2026-05-15 22:45:00,OANDA:XAUUSD,4556.895,4557.475,4550.385,4551.43,5385.0,False,False,False,True,False,False
2026-05-15 22:50:00,OANDA:XAUUSD,4551.49,4557.255,4546.21,4556.945,5511.0,False,False,False,True,False,False
2026-05-15 22:55:00,OANDA:XAUUSD,4556.9,4566.735,4555.025,4562.85,6558.0,False,False,True,False,True,False
2026-05-15 23:00:00,OANDA:XAUUSD,4562.865,4563.78,4552.005,4553.515,5776.0,False,False,False,False,False,True
2026-05-15 23:05:00,OANDA:XAUUSD,4553.485,4558.995,4551.84,4558.975,4889.0,False,False,False,False,False,False
2026-05-15 23:10:00,OANDA:XAUUSD,4558.9,4560.335,4550.955,4552.63,5463.0,False,False,False,False,False,False
2026-05-15 23:15:00,OANDA:XAUUSD,4552.62,4554.15,4546.325,4547.545,4509.0,False,False,False,False,False,True
2026-05-15 23:20:00,OANDA:XAUUSD,4547.655,4552.24,4543.97,4545.775,3305.0,False,False,False,True,False,True
2026-05-15 23:25:00,OANDA:XAUUSD,4545.785,4548.905,4543.025,4547.39,4765.0,False,False,False,True,False,False
2026-05-15 23:30:00,OANDA:XAUUSD,4547.265,4550.445,4543.74,4543.765,4341.0,False,False,False,False,False,False
2026-05-15 23:35:00,OANDA:XAUUSD,4543.68,4546.73,4541.895,4542.39,3593.0,False,False,False,True,False,True
2026-05-15 23:40:00,OANDA:XAUUSD,4542.31,4544.91,4540.035,4541.59,3235.0,False,False,False,True,False,True
2026-05-15 23:45:00,OANDA:XAUUSD,4541.575,4543.005,4539.22,4540.295,2696.0,False,False,False,True,False,False
2026-05-15 23:50:00,OANDA:XAUUSD,4540.305,4543.65,4536.655,4538.155,3942.0,False,False,False,True,False,True
2026-05-15 23:55:00,OANDA:XAUUSD,4538.125,4539.95,4533.86,4539.95,3800.0,False,False,False,True,False,False
2026-05-16 00:00:00,OANDA:XAUUSD,4539.995,4542.505,4533.61,4535.835,4668.0,False,False,False,True,False,False
2026-05-16 00:05:00,OANDA:XAUUSD,4535.76,4536.73,4529.625,4531.64,4578.0,False,False,False,True,False,True
